mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour,Robust_pTour_theoretic
1140963,1868247,3302343,3270719,2412369,2470451,28940674,15281265,0.25,6825803,4169745
1140963,1868247,3302343,3270719,2412369,2470451,28940674,15281265,0.5,4217117,3548657
1140963,1868247,3302343,3270719,2412369,2470451,28940674,15281265,0.75,3334688,3379539
1140963,1868247,3302343,3270719,2412369,2470451,28940674,15281265,1.0,3428318,3265115
1140963,1868247,3302343,3270719,2412369,2470451,28940674,15281265,1.25,3222800,3205273
1140963,1868247,3302343,3270719,2412369,2470451,26661557,15872200,0.25,6645013,4111246
1140963,1868247,3302343,3270719,2412369,2470451,26661557,15872200,0.5,4619711,3559392
1140963,1868247,3302343,3270719,2412369,2470451,26661557,15872200,0.75,3362956,3335021
1140963,1868247,3302343,3270719,2412369,2470451,26661557,15872200,1.0,3180544,3291113
1140963,1868247,3302343,3270719,2412369,2470451,26661557,15872200,1.25,3162416,3167092
1140963,1868247,3302343,3270719,2412369,2470451,1300056,2563159,0.25,2141576,2502735
1140963,1868247,3302343,3270719,2412369,2470451,1300056,2563159,0.5,2167262,2588182
1140963,1868247,3302343,3270719,2412369,2470451,1300056,2563159,0.75,2316337,2726489
1140963,1868247,3302343,3270719,2412369,2470451,1300056,2563159,1.0,2527104,2787082
1140963,1868247,3302343,3270719,2412369,2470451,1300056,2563159,1.25,2693765,2828820
1140963,1868247,3302343,3270719,2412369,2470451,1107243,2425195,0.25,2129817,2520550
1140963,1868247,3302343,3270719,2412369,2470451,1107243,2425195,0.5,2140876,2606197
1140963,1868247,3302343,3270719,2412369,2470451,1107243,2425195,0.75,2320859,2699507
1140963,1868247,3302343,3270719,2412369,2470451,1107243,2425195,1.0,2465380,2794004
1140963,1868247,3302343,3270719,2412369,2470451,1107243,2425195,1.25,2659071,2863798
1140963,1868247,3302343,3270719,2412369,2470451,23056905,14200134,0.25,6956106,3988492
1140963,1868247,3302343,3270719,2412369,2470451,23056905,14200134,0.5,4680998,3479212
1140963,1868247,3302343,3270719,2412369,2470451,23056905,14200134,0.75,3528095,3312090
1140963,1868247,3302343,3270719,2412369,2470451,23056905,14200134,1.0,3181973,3178718
1140963,1868247,3302343,3270719,2412369,2470451,23056905,14200134,1.25,3088180,3144313
1140963,1868247,3302343,3270719,2412369,2470451,23159295,15483582,0.25,6763273,4056674
1140963,1868247,3302343,3270719,2412369,2470451,23159295,15483582,0.5,4430753,3478245
1140963,1868247,3302343,3270719,2412369,2470451,23159295,15483582,0.75,3351414,3323267
